sku,websites,store,has_options,brand,manufacturer,type,bundle_attributes,bundle_attribute_products,tax_class_id,attribute_set,config_attributes,news_from_date,category_ids,gallery,name,short_name,image,small_image,thumbnail,options_container,status,enable_googlecheckout,visibility,weight,length,width,height,shipping_length,shipping_width,shipping_height,capacity,warranty,short_description,description,description_specs,description_related,description_addon_title,qty,meta_title,meta_description,limited_stock_qty,is_in_stock,assort,upsell,crosssell,color,Size:drop_down:1,size,Wholesale,Normal,price,special_price,special_from_date,special_to_date,associated,Normal_Quantity_1,Normal_Price_1,Normal_Quantity_2,Normal_Price_2,Normal_Quantity_3,Normal_Price_3,Normal_Quantity_4,Normal_Price_4,Normal_Quantity_5,Normal_Price_5,mptp_cat_id,mptp_update_status,power_consumption,product_weight,compatible_products,MAP,child_attributes,child_attribute_options
ATI3001,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_kit.jpg","24"" 4x24W SunPower T5 High-Output Fixture","24"" 4x24W",/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,14,23.1,9.4,2.1,28,18,8,20-50 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 24"" 4x24W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 24"" 4x24W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 96W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 20-50 gallons.<br />- Recommended Tank Length: 24-36"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 24"" with proper placement of corals.",,,,3,"24"" 4x24W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,264.95,354.95,354.95,,,,,3,258.95,,,,,,,,,ATIFIXTURES,,,13,,354.95,N/A to Child,N/A to Child
ATI3003,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg","24"" 6x24W SunPower T5 High-Output Fixture","24"" 6x24W",/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,17,23.1,13.4,2.1,28,18,8,30-70 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 24"" 6x24W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 24"" 6x24W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 144W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 40-70 gallons.<br />- Recommended Tank Length: 24-36"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 24"" with proper placement of corals.",,,,4,"24"" 6x24W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,308.95,409.95,409.95,,,,,3,301.95,,,,,,,,,ATIFIXTURES,,,16,,409.95,N/A to Child,N/A to Child
ATI3004,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg","24"" 8x24W SunPower T5 High-Output Fixture","24"" 8x24W",/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,22,23.1,17.5,2.1,28,22,8,40-100 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 24"" 8x24W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 24"" 8x24W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 192W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 50-100 gallons.<br />- Recommended Tank Length: 24-36"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 30"" with proper placement of corals.",,,,4,"24"" 8x24W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,372.95,499.95,499.95,,,,,3,363.95,,,,,,,,,ATIFIXTURES,,,21,,499.95,N/A to Child,N/A to Child
ATI3005,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_kit.jpg","36"" 4x39W SunPower T5 High-Output Fixture","36"" 4x39W",/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,15,35,9.4,2.1,40,18,8,30-80 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 36"" 4x39W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 36"" 4x39W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 156W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 40-80 gallons.<br />- Recommended Tank Length: 36-48"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 24"" with proper placement of corals.",,,,5,"36"" 4x39W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,294.95,394.95,394.95,,,,,3,287.95,,,,,,,,,ATIFIXTURES,,,14,,394.95,N/A to Child,N/A to Child
ATI3007,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg","36"" 6x39W SunPower T5 High-Output Fixture","36"" 6x39W",/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,19,35,13.4,2.1,40,18,8,50-120 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 36"" 6x39W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 36"" 6x39W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 234W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 60-120 gallons.<br />- Recommended Tank Length: 36-48"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 24"" with proper placement of corals.",,,,10,"36"" 6x39W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,353.95,469.95,469.95,,,,,3,345.95,,,,,,,,,ATIFIXTURES,,,18,,469.95,N/A to Child,N/A to Child
ATI3008,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg","36"" 8x39W SunPower T5 High-Output Fixture","36"" 8x39W",/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,23,35,17.5,2.1,40,22,8,60-160 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 36"" 8x39W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 36"" 8x39W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 312W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 80-160 gallons.<br />- Recommended Tank Length: 36-48"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 30"" with proper placement of corals.",,,,1,"36"" 8x39W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,412.95,549.95,549.95,,,,,3,402.95,,,,,,,,,ATIFIXTURES,,,22,,549.95,N/A to Child,N/A to Child
ATI3009,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_kit.jpg","48"" 4x54W SunPower T5 High-Output Fixture","48"" 4x54W",/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,19,47,9.4,2.1,52,18,8,40-110 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 48"" 4x54W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 48"" 4x54W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 216W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 50-110 gallons.<br />- Recommended Tank Length: 48-60"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 24"" with proper placement of corals.",,,,4,"48"" 4x54W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,324.95,434.95,434.95,,,,,3,316.95,,,,,,,,,ATIFIXTURES,,,18,,434.95,N/A to Child,N/A to Child
ATI3011,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg","48"" 6x54W SunPower T5 High-Output Fixture","48"" 6x54W",/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,24,47,13.4,2.1,52,18,8,60-160 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 48"" 6x54W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 48"" 6x54W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 324W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 80-160 gallons.<br />- Recommended Tank Length: 48-60"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 24"" with proper placement of corals.",,,,9,"48"" 6x54W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,389.95,519.95,519.95,,,,,3,380.95,,,,,,,,,ATIFIXTURES,,,23,,519.95,N/A to Child,N/A to Child
ATI3012,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg","48"" 8x54W SunPower T5 High-Output Fixture","48"" 8x54W",/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,31,47,17.5,2.1,52,22,8,90-220 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 48"" 8x54W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 48"" 8x54W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 432W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 110-220 gallons.<br />- Recommended Tank Length: 48-60"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 30"" with proper placement of corals.",,,,6,"48"" 8x54W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,462.95,617.95,617.95,,,,,3,451.95,,,,,,,,,ATIFIXTURES,,,30,,617.95,N/A to Child,N/A to Child
ATI3013,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_kit.jpg","60"" 4x80W SunPower T5 High-Output Fixture","60"" 4x80W",/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,22,58.5,9.4,2.1,63,18,8,60-160 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 60"" 4x80W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 60"" 4x80W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 320W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 80-160 gallons.<br />- Recommended Tank Length: 60-72"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 24"" with proper placement of corals.",,,,4,"60"" 4x80W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,349.95,464.95,464.95,,,,,3,341.95,,,,,,,,,ATIFIXTURES,,,21,,464.95,N/A to Child,N/A to Child
ATI3015,base,default,,ATI,ATI,simple,,,None,Default,,,,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg","60"" 6x80W SunPower T5 High-Output Fixture","60"" 6x80W",/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,,29,58.5,13.4,2.1,63,18,8,100-240 gallons,1 Year Manufacturer's Limited Warranty,Unavailable,"ATI 60"" 6x80W SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI 60"" 6x80W SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: approximately 480W<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: 120-240 gallons.<br />- Recommended Tank Length: 60-72"".<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: up to 24"" with proper placement of corals.",,,,10,"60"" 6x80W SunPower T5 High-Output Fixture by ATI","ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",2,1,,,,,,,446.95,594.95,594.95,,,,,3,436.95,,,,,,,,,ATIFIXTURES,,,28,,594.95,N/A to Child,N/A to Child
